generator,sigma,dim_embedding,alignment,regret,per_query_alignment
CMAES,0.01,8,0.6756929533554442,0.8443123352565484,0.5158194874571294
CMAES,0.01,8,0.7957220867029146,0.7791809613902188,0.7341094978740668
CMAES,0.01,8,0.7784763216510773,0.4894875575122119,0.6225194587498745
CMAES,0.01,8,0.8281239603580893,0.6221219316252594,0.7771920709397174
CMAES,0.01,8,0.6908628859366562,0.6515117356365028,0.5939599479821058
CMAES,0.01,8,0.79014773171901,0.7316864379839367,0.6719852872733886
CMAES,0.01,8,0.7244054159423722,0.09295514950706998,0.6843240054893008
CMAES,0.01,8,0.825157877653327,0.614029677799709,0.6934462263507082
CMAES,0.01,8,0.7793351658530934,0.3709553491108886,0.7039232264658213
CMAES,0.01,8,0.6813444272123039,0.736981291197309,0.6167088840560881
CMAES,0.01,8,0.7070656394899206,0.5601221768592194,0.6045807737224771
CMAES,0.01,8,0.7450136692280798,0.39600392404081897,0.6331142708227264
CMAES,0.01,8,0.7743811555561122,0.8455975572277887,0.7077241369185209
CMAES,0.01,8,0.7152386261787015,0.38103748488642725,0.677897049649531
CMAES,0.01,8,0.8038484661630012,0.013894231222194383,0.7263602285086151
CMAES,0.01,8,0.8445625217582692,0.7531924775832418,0.8281451289503117
CMAES,0.01,8,0.7707473282538382,0.8555205777109727,0.6706838229190133
CMAES,0.01,8,0.665954523119165,1.5441545272936248,0.5990416389369867
CMAES,0.01,8,0.7817152881368488,0.9742167889500155,0.6740899135676496
CMAES,0.01,8,0.7683583198356208,0.6281817878972715,0.6236263632843938
CMAES,0.17555555555555558,8,0.7916292544333047,0.9592944160758625,0.7306215519866209
CMAES,0.17555555555555558,8,0.816132306971776,0.23753217196865994,0.7233082400790389
CMAES,0.17555555555555558,8,0.8083991034531043,0.8467836676709031,0.5337512016710306
CMAES,0.17555555555555558,8,0.8628882483767415,0.18489276111674444,0.6563660372796427
CMAES,0.17555555555555558,8,0.8485464870921701,0.06602207839502622,0.6174672371050021
CMAES,0.17555555555555558,8,0.8299756660549072,0.27902426116854434,0.792022752542253
CMAES,0.17555555555555558,8,0.8670186744831225,0.10859087532114312,0.7809827045676294
CMAES,0.17555555555555558,8,0.8160585750343998,0.5161440874786243,0.6548024081934147
CMAES,0.17555555555555558,8,0.8599729617836331,0.24209662988734107,0.7114370654444401
CMAES,0.17555555555555558,8,0.793156616103866,0.6322490450137951,0.6197907515274459
CMAES,0.17555555555555558,8,0.8251479739023962,0.3514066812023295,0.6464974157100308
CMAES,0.17555555555555558,8,0.8122130839220072,0.4165635686065705,0.6090989267157924
CMAES,0.17555555555555558,8,0.8306697408166078,0.5273645305775777,0.5586610428740905
CMAES,0.17555555555555558,8,0.8458511974023747,0.4003592702734704,0.7405471034177068
CMAES,0.17555555555555558,8,0.8156357345533901,0.10942774082965452,0.7740618009537221
CMAES,0.17555555555555558,8,0.8666958591353132,0.22844889334830268,0.636842232400554
CMAES,0.17555555555555558,8,0.8483338650430602,0.4156314394172485,0.7480712319492686
CMAES,0.17555555555555558,8,0.8051910985959895,0.3078100225337327,0.6521786551830571
CMAES,0.17555555555555558,8,0.8359942023389677,0.5044686388183593,0.6689587508772893
CMAES,0.17555555555555558,8,0.8458575377626996,0.6903112809927661,0.6705899800194264
CMAES,0.17555555555555558,8,0.8429909895477179,0.5980576270946072,0.6980719440267216
CMAES,0.17555555555555558,8,0.8139046264283981,0.5131518842081028,0.6009187334152449
CMAES,0.17555555555555558,8,0.8103727117803822,0.5686684641131758,0.7732277949858583
CMAES,0.17555555555555558,8,0.8747400742595997,0.23628989618476107,0.7782887596816923
CMAES,0.17555555555555558,8,0.8044069438353625,0.3876958941363827,0.6774059166836344
CMAES,0.17555555555555558,8,0.7889393750026296,0.9494770116681587,0.5519270004257543
CMAES,0.17555555555555558,8,0.8261000805701437,0.2753342374350279,0.4837033323178881
CMAES,0.17555555555555558,8,0.9032006150157068,0.2349551614977153,0.7585071774353268
CMAES,0.17555555555555558,8,0.8774082672045018,0.18822937895228484,0.6717283178878815
CMAES,0.17555555555555558,8,0.8650034182775939,0.26218950902135507,0.8070049016166313
CMAES,0.17555555555555558,8,0.8290258371976025,0.16014962115159598,0.7106269683026643
CMAES,0.17555555555555558,8,0.7956879988620602,0.6334288069954476,0.5521445102025769
CMAES,0.17555555555555558,8,0.8031973810250901,0.43373418958700827,0.5903624423473787
CMAES,0.17555555555555558,8,0.7926767015136676,0.6557446563253888,0.4916982087137623
CMAES,0.17555555555555558,8,0.7972539502884348,0.6219683262815964,0.6482225141401571
CMAES,0.17555555555555558,8,0.8569596105781188,0.5986396455476801,0.6725532857255061
CMAES,0.17555555555555558,8,0.8442881611297356,0.19686923727309624,0.6591299914858197
CMAES,0.17555555555555558,8,0.8197119437820669,0.7100818933370949,0.4291970090564023
CMAES,0.17555555555555558,8,0.882205102387712,0.10143812868351618,0.7145980537197484
CMAES,0.17555555555555558,8,0.8563183972667121,0.5276391427420399,0.7420600550731061
CMAES,0.17555555555555558,8,0.8340752267576037,0.3169386219400051,0.6518118597886534
CMAES,0.17555555555555558,8,0.7479020478533434,0.934832974069879,0.7198126255168618
CMAES,0.17555555555555558,8,0.822685354744291,0.24178780282947276,0.6659096350160246
CMAES,0.17555555555555558,8,0.8107718972185675,0.91038870897866,0.5445908893647071
CMAES,0.17555555555555558,8,0.8697017337044348,0.22968226059366087,0.478385284445809
CMAES,0.17555555555555558,8,0.8428427525589591,0.5412735417452459,0.5702215634182443
CMAES,0.17555555555555558,8,0.8258692948381321,0.4032520111463335,0.6720641450612792
CMAES,0.17555555555555558,8,0.8898758512180817,0.26947361583005397,0.6871811537158348
CMAES,0.17555555555555558,8,0.8782421861641181,0.13671504060956485,0.7922462144643945
CMAES,0.17555555555555558,8,0.855035569129577,0.49881376173036895,0.7689920874567282
CMAES,0.17555555555555558,8,0.7134542188655013,0.5968380059859221,0.4867244274907341
CMAES,0.17555555555555558,8,0.8160317236853601,0.5969568154816987,0.6124555232923385
CMAES,0.17555555555555558,8,0.862689097585807,0.45118391035920036,0.7436939177328126
CMAES,0.17555555555555558,8,0.835826657091179,0.2818400366797838,0.7426339172485437
CMAES,0.17555555555555558,8,0.8666852588486544,0.36149830325811144,0.7870450990878761
CMAES,0.17555555555555558,8,0.8014314793459136,0.33239429126363373,0.6636728509656948
CMAES,0.17555555555555558,8,0.7695218242571261,0.7233533686847613,0.6091598706900924
CMAES,0.17555555555555558,8,0.8572763297127879,0.9916828782653886,0.740498303882475
CMAES,0.17555555555555558,8,0.775274485744223,0.8819342827963402,0.5231362981803551
CMAES,0.17555555555555558,8,0.8038704161986372,0.2513825553458251,0.752696848719147
CMAES,0.34111111111111114,8,0.85925620658929,0.15051774159656894,0.6365081896183256
CMAES,0.34111111111111114,8,0.8598587533931843,0.3209092226226311,0.6001142289894048
CMAES,0.34111111111111114,8,0.831471086691896,0.7316027200718423,0.6410692434014968
CMAES,0.34111111111111114,8,0.8712887131413343,0.2207805987028673,0.727547225593528
CMAES,0.34111111111111114,8,0.833320510444644,0.2497725221392048,0.5942796972372791
CMAES,0.34111111111111114,8,0.7858665735810201,0.4409023769348507,0.5531342528602038
CMAES,0.34111111111111114,8,0.8526158769474789,0.29841624980785014,0.7732759665746357
